Activation,Learning Rate,Max Iter,Number Epochs,Num Layers,Train Accuracy,Test Accuracy,Train MSE,Test MSE
logistic,0.01,100,44,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,45,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,46,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,47,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,48,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,49,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,50,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,51,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,52,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,53,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,54,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,55,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,56,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,57,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,58,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,59,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,60,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,61,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,62,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,63,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
